Unnamed: 0,filename,synthetic,reference,category,time_sensitive,urgent,summary,correct_urgency
0,recommendation/1.txt,no,,RECOM,NO,,0,1
1,recommendation/10.txt,no,,RECOM,NO,,0,1
2,recommendation/2.txt,no,,RECOM,NO,,"1, Reference Letter Needed for Imminent Deadline: Weizhou Wang kindly reminds you to submit a reference letter for the Harvard University graduate application due in 9 days, with several other program deadlines approaching.",1
3,recommendation/3.txt,no,,RECOM,NO,,0,1
4,recommendation/4.txt,no,,RECOM,NO,,0,1
5,recommendation/5.txt,no,,RECOM,NO,,"1, Urgent Request for Completion of Reference Form: You are asked by Ruijie Zhang to urgently complete a reference form for HongKong University due by March 5th, which includes filling out the last two pages and emailing it to MGMref@hku.hk.",1
6,recommendation/6.txt,no,,RECOM,NO,,0,1
7,recommendation/7.txt,no,,RECOM,NO,,"1, Approaching Recommendation Letter Submission Deadlines: Isabella reminds you to submit the letters of recommendation for her Master’s applications at UBC and McMaster University, as the deadline is close.",1
8,recommendation/8.txt,no,,RECOM,NO,,0,1
9,recommendation/9.txt,no,,RECOM,NO,,0,1
10,recommendation/synthetic_11.txt,yes,,RECOM,YES,,"1, Request for Recommendation Letter by Upcoming Friday: Emily requires a letter of recommendation for the Highbrow Scholarship by this coming Friday and has provided you with her resume, transcript, and a draft of the scholarship essay for reference.",0
11,recommendation/synthetic_12.txt,yes,,RECOM,NO,,"1, Reminder to Provide Letter of Recommendation: Mark is following up on a letter of recommendation needed for his graduate school application to Oxford University, with the submission deadline approaching.",1
12,recommendation/synthetic_13.txt,yes,,RECOM,NO,,0,1
13,recommendation/synthetic_14.txt,yes,,RECOM,NO,,0,1
14,recommendation/synthetic_15.txt,yes,,RECOM,NO,,"1, Recommendation Letter Deadline Approaching: Derek reminds you of the approaching April 15th deadline for the NASA summer internship recommendation letter and offers to provide more information if needed.",1
15,recommendation/synthetic_16.txt,yes,,RECOM,NO,,0,1
16,recommendation/synthetic_17.txt,yes,,RECOM,NO,,0,1
17,recommendation/synthetic_18.txt,yes,,RECOM,NO,,"1, Reference Letter for Job Application Deadline: Jordan reminds you that the Data Analyst position application at Google is due on April 15th and follows up to ensure the reference letter you're providing will be submitted timely.",1
18,recommendation/synthetic_19.txt,yes,,RECOM,NO,,"1, Confirmation of Recommendation Letter Submission Required: Sarah urgently needs to confirm that you have sent the recommendation letter for her Rhodes Scholarship application, as the committee is finalizing applications this week.",1
19,recommendation/synthetic_20.txt,yes,,RECOM,NO,,0,1
20,recommendation/synthetic_21.txt,yes,,RECOM,YES,,"1, Recommendation Letter for MIT Masters Application: Jordan urgently requests a letter of recommendation from you for their MIT Masters in Mechanical Engineering application, with the deadline in two weeks.",0
21,recommendation/synthetic_22.txt,yes,,RECOM,NO,,0,1
22,recommendation/synthetic_23.txt,yes,,RECOM,NO,,0,1
23,recommendation/synthetic_24.txt,yes,,RECOM,NO,,0,1
24,recommendation/synthetic_25.txt,yes,,RECOM,NO,,"1, Upcoming Deadline for Recommendation Letter: Sylvia gently reminds you of the approaching submission deadline on April 15th for her recommendation letter for Yale's Master's program in Environmental Science.",1
25,recommendation/synthetic_26.txt,yes,,RECOM,NO,,0,1
26,recommendation/synthetic_27.txt,yes,,RECOM,YES,,"1, Immediate Assistance Required for Letter of Recommendation: Emily urgently asks you to provide a letter of recommendation for the Stanford Data Science program, with the deadline approaching next week.",0
27,recommendation/synthetic_28.txt,yes,,RECOM,NO,,"1, Recommendation Letter for Job Application Deadline Approaching: Raj reminds you about the recommendation letter for his job application at Orbital Technologies, with the deadline coming up on April 18th, and provides his CV and cover letter for your review.",1
28,recommendation/synthetic_29.txt,yes,,RECOM,NO,,0,1
29,recommendation/synthetic_30.txt,yes,,RECOM,NO,,0,1
30,recommendation/synthetic_31.txt,yes,,RECOM,YES,,"1, Letter of Recommendation Request with Approaching Deadline: Emily is requesting you to provide a letter of recommendation for her Master's program application at Green University, with the deadline on May 1st.",0
31,recommendation/synthetic_32.txt,yes,,RECOM,NO,,"1, Recommendation Letter for Job Application Deadline: Mark gently reminds you about the recommendation letter he requested for a job application at Analytica Corp due on April 15th, emphasizing its potential impact on his opportunity.",1
32,recommendation/synthetic_33.txt,yes,,RECOM,NO,,0,1
33,recommendation/synthetic_34.txt,yes,,RECOM,NO,,0,1
34,recommendation/synthetic_35.txt,yes,,RECOM,NO,,0,1
35,recommendation/synthetic_36.txt,yes,,RECOM,NO,,0,1
36,recommendation/synthetic_37.txt,yes,,RECOM,NO,,0,1
37,recommendation/synthetic_38.txt,yes,,RECOM,NO,,0,1
38,recommendation/synthetic_39.txt,yes,,RECOM,NO,,"1, Reference Letter Needed As Application Deadline Approaches: Alex reminds you to write the reference letter for the Masters program at the University of British Columbia, emphasizing the approaching deadline and the importance of your support.",1
39,recommendation/synthetic_40.txt,yes,,RECOM,NO,,0,1
40,recommendation/synthetic_41.txt,yes,,RECOM,YES,,"1, Time-sensitive Recommendation Letter Needed: Jane, a former student, urgently requests you to write a recommendation letter for grad school, with the application deadline on March 30th.",0
41,recommendation/synthetic_42.txt,yes,,RECOM,NO,,0,1
42,recommendation/synthetic_43.txt,yes,,RECOM,NO,,"1, Gentle Reminder of Deadline for Rhodes Scholarship Recommendation: Samantha reminds you of the upcoming deadline on April 15th for the letter of recommendation she requested for the Rhodes Scholarship at Oxford.",1
43,recommendation/synthetic_44.txt,yes,,RECOM,NO,,0,1
44,recommendation/synthetic_45.txt,yes,,RECOM,NO,,0,1
45,recommendation/synthetic_46.txt,yes,,RECOM,NO,,0,1
46,recommendation/synthetic_47.txt,yes,,RECOM,NO,,0,1
47,recommendation/synthetic_48.txt,yes,,RECOM,NO,,"1, Confirmation Needed for Recommendation Letter: Sophia reminds you of the previous conversation about a recommendation letter for her PhD application with a deadline in two weeks, and seeks confirmation that you can write it.",1
48,recommendation/synthetic_49.txt,yes,,RECOM,NO,,0,1
49,recommendation/synthetic_50.txt,yes,,RECOM,NO,,0,1
50,collaboration/1.txt,no,,COLLAB,NO,,0,1
51,collaboration/10.txt,no,,COLLAB,NO,,0,1
52,collaboration/2.txt,no,,COLLAB,NO,,0,1
53,collaboration/3.txt,no,,COLLAB,NO,,0,1
54,collaboration/4.txt,no,,COLLAB,NO,,0,1
55,collaboration/5.txt,no,,COLLAB,YES,,"1, Confirmation Needed for Research Collaboration and Meeting Scheduling: The law firm Baker & McKenzie requires your confirmation by the end of this week for collaboration on the ""Laboratory for Information Globalization and Harmonization Technologies and Studies"" research, and scheduling an initial meeting is imperative by the 15th of this month to align planning and allocate resources.",0
56,collaboration/6.txt,no,,COLLAB,NO,,0,1
57,collaboration/7.txt,no,,COLLAB,NO,,0,1
58,collaboration/8.txt,no,,COLLAB,NO,,0,1
59,collaboration/9.txt,no,,COLLAB,NO,,0,1
60,collaboration/synthetic_11.txt,yes,,COLLAB,NO,,0,1
61,collaboration/synthetic_12.txt,yes,,COLLAB,NO,,0,1
62,collaboration/synthetic_13.txt,yes,,COLLAB,NO,,0,1
63,collaboration/synthetic_14.txt,yes,,COLLAB,NO,,"1, Imminent Grant Application Deadline for Collaboration Proposal: Dr. Rita Sanchez from NexGen Pharma is following up on a bioengineering collaboration proposal, emphasizing the approaching grant application deadline and seeking your participation in the project.",1
64,collaboration/synthetic_15.txt,yes,,COLLAB,NO,,0,1
65,collaboration/synthetic_16.txt,yes,,COLLAB,NO,,0,1
66,collaboration/synthetic_17.txt,yes,,COLLAB,NO,,0,1
67,collaboration/synthetic_18.txt,yes,,COLLAB,YES,,"1, Crucial Collaboration Planning Required: Dr. Müller stresses the need to organize a joint session with the research teams to discuss project integration, with a deadline to finalize the schedule by the end of this week.",0
68,collaboration/synthetic_19.txt,yes,,COLLAB,NO,,0,1
69,collaboration/synthetic_20.txt,yes,,COLLAB,NO,,0,1
70,collaboration/synthetic_21.txt,yes,,COLLAB,YES,,0,0
71,collaboration/synthetic_22.txt,yes,,COLLAB,NO,,0,1
72,collaboration/synthetic_23.txt,yes,,COLLAB,NO,,0,1
73,collaboration/synthetic_24.txt,yes,,COLLAB,NO,,0,1
74,collaboration/synthetic_25.txt,yes,,COLLAB,NO,,0,1
75,collaboration/synthetic_26.txt,yes,,COLLAB,NO,,0,1
76,collaboration/synthetic_27.txt,yes,,COLLAB,NO,,0,1
77,collaboration/synthetic_28.txt,yes,,COLLAB,NO,,0,1
78,collaboration/synthetic_29.txt,yes,,COLLAB,NO,,0,1
79,collaboration/synthetic_30.txt,yes,,COLLAB,NO,,0,1
80,collaboration/synthetic_31.txt,yes,,COLLAB,NO,,0,1
81,collaboration/synthetic_32.txt,yes,,COLLAB,NO,,0,1
82,collaboration/synthetic_33.txt,yes,,COLLAB,NO,,0,1
83,collaboration/synthetic_34.txt,yes,,COLLAB,NO,,0,1
84,collaboration/synthetic_35.txt,yes,,COLLAB,NO,,0,1
85,collaboration/synthetic_36.txt,yes,,COLLAB,NO,,0,1
86,collaboration/synthetic_37.txt,yes,,COLLAB,YES,,"1, Deadline for Consortium Response: Jessica from AutoSense Tech invites you to join a consortium for a project on next-generation sensors, requiring your confirmation by end of day April 10th.",0
87,collaboration/synthetic_38.txt,yes,,COLLAB,NO,,0,1
88,collaboration/synthetic_39.txt,yes,,COLLAB,NO,,0,1
89,collaboration/synthetic_40.txt,yes,,COLLAB,NO,,0,1
90,collaboration/synthetic_41.txt,yes,,COLLAB,NO,,0,1
91,collaboration/synthetic_42.txt,yes,,COLLAB,NO,,0,1
