,filename,synthetic,reference,category,time_sensitive
0,1.txt,no,,RECOM,NO
1,10.txt,no,,RECOM,NO
2,2.txt,no,,RECOM,NO
3,3.txt,no,,RECOM,NO
4,4.txt,no,,RECOM,NO
5,5.txt,no,,RECOM,NO
6,6.txt,no,,RECOM,NO
7,7.txt,no,,RECOM,YES(special)
8,8.txt,no,,RECOM,NO
9,9.txt,no,,RECOM,NO
10,synthetic_11.txt,yes,,RECOM,YES
11,synthetic_12.txt,yes,,RECOM,NO
12,synthetic_13.txt,yes,,RECOM,NO
13,synthetic_14.txt,yes,,RECOM,NO
14,synthetic_15.txt,yes,,RECOM,NO
15,synthetic_16.txt,yes,,RECOM,NO
16,synthetic_17.txt,yes,,RECOM,NO
17,synthetic_18.txt,yes,,RECOM,NO
18,synthetic_19.txt,yes,,RECOM,NO
19,synthetic_20.txt,yes,,RECOM,NO
20,synthetic_21.txt,yes,,RECOM,YES
21,synthetic_22.txt,yes,,RECOM,NO
22,synthetic_23.txt,yes,,RECOM,NO
23,synthetic_24.txt,yes,,RECOM,NO
24,synthetic_25.txt,yes,,RECOM,NO
25,synthetic_26.txt,yes,,RECOM,NO
26,synthetic_27.txt,yes,,RECOM,YES
27,synthetic_28.txt,yes,,RECOM,NO
28,synthetic_29.txt,yes,,RECOM,NO
29,synthetic_30.txt,yes,,RECOM,NO
30,synthetic_31.txt,yes,,RECOM,YES
31,synthetic_32.txt,yes,,RECOM,NO
32,synthetic_33.txt,yes,,RECOM,NO
33,synthetic_34.txt,yes,,RECOM,NO
34,synthetic_35.txt,yes,,RECOM,NO
35,synthetic_36.txt,yes,,RECOM,NO
36,synthetic_37.txt,yes,,RECOM,NO
37,synthetic_38.txt,yes,,RECOM,NO
38,synthetic_39.txt,yes,,RECOM,NO
39,synthetic_40.txt,yes,,RECOM,NO
40,synthetic_41.txt,yes,,RECOM,YES
41,synthetic_42.txt,yes,,RECOM,NO
42,synthetic_43.txt,yes,,RECOM,NO
43,synthetic_44.txt,yes,,RECOM,NO
44,synthetic_45.txt,yes,,RECOM,NO
45,synthetic_46.txt,yes,,RECOM,NO
46,synthetic_47.txt,yes,,RECOM,NO
47,synthetic_48.txt,yes,,RECOM,NO
48,synthetic_49.txt,yes,,RECOM,NO
49,synthetic_50.txt,yes,,RECOM,NO
