,filename,synthetic,reference,category,time_sensitive
0,1.txt,no,,ADMIN,NO
1,10.txt,no,,ADMIN,NO
2,2.txt,no,,ADMIN,NO
3,3.txt,no,,ADMIN,NO
4,4.txt,no,,ADMIN,NO
5,5.txt,no,,ADMIN,NO
6,6.txt,no,,ADMIN,NO
7,7.txt,no,,ADMIN,NO
8,8.txt,no,,ADMIN,NO
9,9.txt,no,,ADMIN,NO
10,synthetic_11.txt,yes,,ADMIN,NO
11,synthetic_12.txt,yes,,ADMIN,NO
12,synthetic_13.txt,yes,,ADMIN,NO
13,synthetic_14.txt,yes,,ADMIN,NO
14,synthetic_15.txt,yes,,ADMIN,NO
15,synthetic_16.txt,yes,,ADMIN,YES
16,synthetic_17.txt,yes,,ADMIN,NO
17,synthetic_18.txt,yes,,ADMIN,NO
18,synthetic_19.txt,yes,,ADMIN,NO
19,synthetic_20.txt,yes,,ADMIN,NO
20,synthetic_21.txt,yes,,ADMIN,NO
21,synthetic_22.txt,yes,,ADMIN,YES
22,synthetic_23.txt,yes,,ADMIN,NO
23,synthetic_24.txt,yes,,ADMIN,NO
24,synthetic_25.txt,yes,,ADMIN,NO
25,synthetic_26.txt,yes,,ADMIN,YES
26,synthetic_27.txt,yes,,ADMIN,NO
27,synthetic_28.txt,yes,,ADMIN,NO
28,synthetic_29.txt,yes,,ADMIN,NO
29,synthetic_30.txt,yes,,ADMIN,NO
30,synthetic_31.txt,yes,,ADMIN,NO
31,synthetic_32.txt,yes,,ADMIN,YES
32,synthetic_33.txt,yes,,ADMIN,NO
33,synthetic_34.txt,yes,,ADMIN,NO
34,synthetic_35.txt,yes,,ADMIN,NO
35,synthetic_36.txt,yes,,ADMIN,NO
36,synthetic_37.txt,yes,,ADMIN,NO
37,synthetic_38.txt,yes,,ADMIN,NO
38,synthetic_39.txt,yes,,ADMIN,NO
39,synthetic_40.txt,yes,,ADMIN,NO
40,synthetic_41.txt,yes,,ADMIN,YES
41,synthetic_42.txt,yes,,ADMIN,NO
42,synthetic_43.txt,yes,,ADMIN,NO
43,synthetic_44.txt,yes,,ADMIN,NO
44,synthetic_45.txt,yes,,ADMIN,NO
45,synthetic_46.txt,yes,,ADMIN,YES
46,synthetic_47.txt,yes,,ADMIN,NO
47,synthetic_48.txt,yes,,ADMIN,NO
48,synthetic_49.txt,yes,,ADMIN,NO
49,synthetic_50.txt,yes,,ADMIN,NO
